nationality;image;player;team;gender
German;https://media.guim.co.uk/a3863d6e22b06fe24f7a4becfa414d988fd7474e/1484_52_691_691/500.jpg;Serge Gnabry;Bayern Munich;male
Other nationalities;https://media.guim.co.uk/55ba246b309368d41af1cbf5110ec9c5727b482f/1193_500_1576_1576/500.jpg;Alphonso Davies;Bayern Munich;male
Other nationalities;https://media.guim.co.uk/a3d856c75cf6676431091e98b6da934524817526/805_160_994_994/500.jpg;Virgil van Dijk;Liverpool;male
Brazilian;https://media.guim.co.uk/00c405a63bcd3567d90802823d26a9f8571836f9/1328_111_1215_1215/500.jpg;Marquinhos;Paris Saint-Germain;male
Other nationalities;https://media.guim.co.uk/8fe4ab4d42842738871e868492fedba7824caccc/1471_65_1036_1036/500.jpg;Bernardo Silva;Manchester City;male
argentinian;https://media.guim.co.uk/0061b07676c9dd49a9da72a8fbc04dfb98298336/1767_185_4501_4503/500.jpg;Rodrigo De Paul;Atlético Madrid;male
German;https://media.guim.co.uk/62875e45a9e64d8683e52d384d37d6828cfca462/2472_42_1376_1376/500.jpg;Kai Havertz;Chelsea;male
German;https://media.guim.co.uk/a678797b2da11931022de13d639e7771f0523998/921_108_2310_2311/500.jpg;Antonio Rüdiger;Chelsea;male
Other nationalities;https://media.guim.co.uk/115c79e7988e379e32a4bdca438b3e31ba3b82fd/1175_0_1250_1250/500.jpg;Memphis Depay;Barcelona;male
Spanish;https://media.guim.co.uk/84bcc26f515cf151fa24c8b35ad1ea9e674ead60/1790_131_1680_1681/500.jpg;César Azpilicueta;Chelsea;male
Spanish;https://media.guim.co.uk/07e4b8de75976d5c5697fe3da595564e0e874ef3/296_71_865_865/500.jpg;Gerard MorenoV;Villarreal;male
argentinian;https://media.guim.co.uk/1548341add50d6e25ec0a1fbe29bb56fe10f0197/194_129_1156_1155/500.jpg;Emiliano Martínez;Aston Villa;male
Belgian;https://media.guim.co.uk/1765dd1ada605a1fcff2bcf77bba2d957795662d/2680_163_1598_1598/500.jpg;Thibaut Courtois;Real Madridd;male
Other nationalities;https://media.guim.co.uk/c85a0ab9a0de970f928f2cbe7de9cb5d0534b00c/1537_338_1663_1663/500.jpg;Simon Kjær;Milan;male
Other nationalities;https://media.guim.co.uk/9f0cdca8134277bd677365098026879d4966fb28/1178_182_1315_1315/500.jpg;David Alaba;Real Madrid;male
Other nationalities;https://media.guim.co.uk/5050595d7e54718134a246facaa923aee8d8a3b2/531_8_1119_1119/500.jpg;Zlatan Ibrahimovic;Milan;male
Other nationalities;https://media.guim.co.uk/c178861497fe3f3274efa1c950c7fab76d4e50a7/313_298_2128_2127/500.jpg;Dusan Vlahovic;Fiorentina;male
Brazilian;https://media.guim.co.uk/e72e26e0a597150840b3eb88831e47f76a336d62/437_15_783_783/500.jpg;Thiago Silva;Chelsea;male
English;https://media.guim.co.uk/479ab79fe019c821ace8430d4167c423d170c9e4/476_36_526_526/500.jpg;Declan Rice;West Ham United;male
Other nationalities;https://media.guim.co.uk/368bd0251d7bd92e40faddf0fa9006f63f779381/1829_1142_1748_1748/500.jpg;Riyad Mahrez;Manchester City;male
English;https://media.guim.co.uk/a43450ab50cc62d72f75024e22451bfb0390fc58/1436_263_2130_2131/500.jpg;Jack Grealish;Manchester City;male
Italian;https://media.guim.co.uk/9384f6e849e25a615b2425df93e3fb9ac116f5b8/735_77_885_886/500.jpg;Lorenzo Insigne;Napoli;male
Other nationalities;https://media.guim.co.uk/284cc0784cdabdce5fa822267df87f9f61f83edd/1281_99_1005_1005/500.jpg;João Cancelo;Manchester City;male
German;https://media.guim.co.uk/890ff285a9e80c974ab4b1db57c83c2ca3c2e310/2126_32_1794_1795/500.jpg;Leon Goretzka;Bayern Munich;male
German;https://media.guim.co.uk/b3612f138826fa353145b5dd75086a8182351cff/491_0_2421_2420/500.jpg;Toni Kroos;Real Madrid;male
Italian;https://media.guim.co.uk/1583255be4f919fb91fca306b36968dd040e03a7/562_46_890_890/500.jpg;Ciro Immobile;Lazio;male
Brazilian;https://media.guim.co.uk/87225bc609242446b21bc700f09ca34ccf838b6d/540_81_752_752/500.jpg;Alisson;Liverpool;male
Brazilian;https://media.guim.co.uk/3b3e514032a811dcc63af6b1c4432b5c46e9baeb/2048_181_2491_2491/500.jpg;Casemiro;Real Madrid;male
French;https://media.guim.co.uk/a9fcf22b4a3a6722bb18e9baa5884ddf99841500/1935_130_798_798/500.jpg;Paul Pogba;Manchester United;male
English;https://media.guim.co.uk/bca9d1acf489543d9c2d230100a25636b3864fb6/1324_112_1043_1043/500.jpg;Reece James;Chelsea;male
Spanish;https://media.guim.co.uk/a293284a887278da6aa71679942ec178095aa0c8/1139_0_2292_2293/500.jpg;Marcos Liorente;Atlético Madrid;male
English;https://media.guim.co.uk/39745a1a173137e87cd1ee990cfaa27d2b926e84/858_46_1002_1002/500.jpg;Jude Bellingham;Borussia Dortmund;male
Italian;https://media.guim.co.uk/560b6cb39a18abf9c3f130bf2d8005d4128db0e0/1384_64_1332_1331/500.jpg;Leonardo Spinazzola;Roma;male
English;https://media.guim.co.uk/3a435dfd7146bde7ac2234c3c0304bb80c4d62a0/1633_142_1186_1186/500.jpg;Kyle Walker;Manchester City;male
